2023-10-24 00:42:01,878 INFO    StreamThr :16508 [internal.py:wandb_internal():86] W&B internal server running at pid: 16508, started at: 2023-10-24 00:42:01.877828
2023-10-24 00:42:01,879 DEBUG   HandlerThread:16508 [handler.py:handle_request():146] handle_request: status
2023-10-24 00:42:01,881 INFO    WriterThread:16508 [datastore.py:open_for_write():85] open: /Users/zzzanghun/git/AI_Application_Practice/07.Olympic/wandb/run-20231024_004201-vx8bgchd/run-vx8bgchd.wandb
2023-10-24 00:42:01,882 DEBUG   SenderThread:16508 [sender.py:send():380] send: header
2023-10-24 00:42:01,911 DEBUG   SenderThread:16508 [sender.py:send():380] send: run
2023-10-24 00:42:02,612 INFO    SenderThread:16508 [dir_watcher.py:__init__():211] watching files in: /Users/zzzanghun/git/AI_Application_Practice/07.Olympic/wandb/run-20231024_004201-vx8bgchd/files
2023-10-24 00:42:02,612 INFO    SenderThread:16508 [sender.py:_start_run_threads():1122] run started: vx8bgchd with start time 1698075721.878216
2023-10-24 00:42:02,626 DEBUG   HandlerThread:16508 [handler.py:handle_request():146] handle_request: check_version
2023-10-24 00:42:02,626 DEBUG   SenderThread:16508 [sender.py:send_request():407] send_request: check_version
2023-10-24 00:42:02,701 DEBUG   HandlerThread:16508 [handler.py:handle_request():146] handle_request: run_start
2023-10-24 00:42:02,709 DEBUG   HandlerThread:16508 [system_info.py:__init__():32] System info init
2023-10-24 00:42:02,710 DEBUG   HandlerThread:16508 [system_info.py:__init__():47] System info init done
2023-10-24 00:42:02,710 INFO    HandlerThread:16508 [system_monitor.py:start():194] Starting system monitor
2023-10-24 00:42:02,710 INFO    SystemMonitor:16508 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-24 00:42:02,711 INFO    HandlerThread:16508 [system_monitor.py:probe():214] Collecting system info
2023-10-24 00:42:02,711 INFO    SystemMonitor:16508 [interfaces.py:start():190] Started cpu monitoring
2023-10-24 00:42:02,711 INFO    SystemMonitor:16508 [interfaces.py:start():190] Started disk monitoring
2023-10-24 00:42:02,712 DEBUG   HandlerThread:16508 [system_info.py:probe():196] Probing system
2023-10-24 00:42:02,714 INFO    SystemMonitor:16508 [interfaces.py:start():190] Started memory monitoring
2023-10-24 00:42:02,714 INFO    SystemMonitor:16508 [interfaces.py:start():190] Started network monitoring
2023-10-24 00:42:02,722 DEBUG   HandlerThread:16508 [system_info.py:_probe_git():181] Probing git
